"","UCL_10","UCL_11","UCL_12","UCL_1","UCL_2","UCL_3","UCL_4","UCL_5","UCL_6","UCL_7","UCL_9"
"CV001_KM9465185_cluster_2",0.406753576709575,0.358224798210118,0.405472504612277,0.361032657341505,0.285561539332237,0.938450606249433,0.393391274058442,0.481403051168086,0.458043702576238,0.442718399982376,0.456199702238333
"CV001_KM9465185_cluster_3",0.417074460117317,0.354163359439811,0.400011696618049,0.362399659458384,0.280263525518023,0.397415621563662,0.948749478502313,0.45859748197752,0.467794822160128,0.470369141207929,0.466550695218248
"CV001_KM9465186_cluster_0",0.410863303798751,0.356564922829037,0.402389465258462,0.400644412895616,0.30308888109593,0.853149259204183,0.410284229357118,0.467161843844131,0.460977243394681,0.447372457428057,0.449103121903269
"CV001_KM9465186_cluster_1",0.360945167811466,0.474584608377114,0.35844658349635,0.290064313152381,0.842314024591442,0.268307726153419,0.277154116804123,0.333704369313454,0.34142856384995,0.334284541043051,0.34593142257848
"CV001_KM9465186_cluster_2",0.431334941296832,0.364585742932605,0.433901610002722,0.867071207854787,0.278038394248776,0.36029017599297,0.36127955555127,0.443081740578287,0.451184761086458,0.433748905704405,0.436661373953931
"CV001_KM9465186_cluster_3",0.401886701791481,0.342885567554579,0.391753406317855,0.378643897318022,0.276012099787579,0.393343129679883,0.854462280912144,0.446868631181199,0.451685003691395,0.447048160932962,0.450746934957076
"CV001_KM9465187_cluster_0",0.378862498048848,0.326338262865461,0.378970827822177,0.360091856914321,0.278397278524821,0.381900988399686,0.799498096856386,0.423783448747543,0.42460476700773,0.423998752202302,0.427570160910845
"CV001_KM9465187_cluster_1",0.410121402768968,0.343592033346224,0.412422404062648,0.804875931448377,0.26217526969124,0.346639391213543,0.360006311357414,0.416852926308275,0.427449425232723,0.406590655907621,0.414120632110928
"CV001_KM9465187_cluster_2",0.372936436857155,0.334317933364041,0.367021760133065,0.360947606299348,0.284284522079872,0.700328495540801,0.418425262199989,0.422046386264039,0.411378242708875,0.408883590262339,0.40820045996252
"CV001_KM9465187_cluster_3",0.353072360935362,0.445934578693588,0.354165123527607,0.279480857352343,0.791859965573671,0.279664823602751,0.28532308811566,0.323587764134258,0.332853668112951,0.32349369599499,0.331534317631799
"CV001_KM9465188_cluster_0",0.423879914668766,0.355197472091434,0.407129118992168,0.37780495227917,0.268928311521249,0.405690506660147,0.938257373676072,0.468873520378097,0.470791516010278,0.473253726526922,0.477877978296486
"CV001_KM9465188_cluster_1",0.409938914521111,0.358555280255567,0.413422928484637,0.370868736023555,0.278069109857561,0.952968824622866,0.416348651785167,0.484891053078299,0.473947000575321,0.456523120224931,0.468627300560413
"CV001_KM9465188_cluster_2",0.376510245315861,0.515174003356015,0.378687594975366,0.27292379420835,0.939692152200629,0.262874845191063,0.266333027772547,0.33904713721165,0.34194922899683,0.340270512913038,0.347734437193546
"CV001_KM9465188_cluster_3",0.463446803407664,0.380637574175813,0.466293352196704,0.943359589459244,0.2868174757022,0.373650046369288,0.385305026564797,0.480703499309803,0.485141769235506,0.463992050489095,0.472162619625311
"CV001_KM9465189_cluster_0",0.352777856169037,0.452365940909938,0.349100351880057,0.292205352726198,0.783942888810271,0.278557736250777,0.285306752422763,0.327845216056988,0.333153026381346,0.326138675878463,0.33011940237803
